img1,img2,label
001/001_00.png,001/001_01.png,1
001/001_00.png,001/001_02.png,1
001/001_00.png,001/001_03.png,1
001/001_00.png,001/001_04.png,1
001/001_00.png,001/001_05.png,1
001/001_00.png,001/001_06.png,1
001/001_00.png,001/001_07.png,1
001/001_00.png,001/001_08.png,1
001/001_00.png,001/001_09.png,1
001/001_00.png,001/001_10.png,1
001/001_00.png,001/001_11.png,1
001/001_00.png,001/001_12.png,1
001/001_00.png,001/001_13.png,1
001/001_00.png,001/001_14.png,1
001/001_00.png,001/001_15.png,1
001/001_00.png,001/001_16.png,1
001/001_00.png,001/001_17.png,1
001/001_00.png,001/001_18.png,1
001/001_00.png,001/001_19.png,1
001/001_00.png,001/001_20.png,1
001/001_01.png,001/001_00.png,1
001/001_01.png,001/001_02.png,1
001/001_01.png,001/001_03.png,1
001/001_01.png,001/001_04.png,1
001/001_01.png,001/001_05.png,1
001/001_01.png,001/001_06.png,1
001/001_01.png,001/001_07.png,1
001/001_01.png,001/001_08.png,1
001/001_01.png,001/001_09.png,1
001/001_01.png,001/001_10.png,1
001/001_01.png,001/001_11.png,1
001/001_01.png,001/001_12.png,1
001/001_01.png,001/001_13.png,1
001/001_01.png,001/001_14.png,1
001/001_01.png,001/001_15.png,1
001/001_01.png,001/001_16.png,1
001/001_01.png,001/001_17.png,1
001/001_01.png,001/001_18.png,1
001/001_01.png,001/001_19.png,1
001/001_01.png,001/001_20.png,1
001/001_02.png,001/001_00.png,1
001/001_02.png,001/001_01.png,1
001/001_02.png,001/001_03.png,1
001/001_02.png,001/001_04.png,1
001/001_02.png,001/001_05.png,1
001/001_02.png,001/001_06.png,1
001/001_02.png,001/001_07.png,1
001/001_02.png,001/001_08.png,1
001/001_02.png,001/001_09.png,1
001/001_02.png,001/001_10.png,1
001/001_02.png,001/001_11.png,1
001/001_02.png,001/001_12.png,1
001/001_02.png,001/001_13.png,1
001/001_02.png,001/001_14.png,1
001/001_02.png,001/001_15.png,1
001/001_02.png,001/001_16.png,1
001/001_02.png,001/001_17.png,1
001/001_02.png,001/001_18.png,1
001/001_02.png,001/001_19.png,1
001/001_02.png,001/001_20.png,1
001/001_03.png,001/001_00.png,1
001/001_03.png,001/001_01.png,1
001/001_03.png,001/001_02.png,1
001/001_03.png,001/001_04.png,1
001/001_03.png,001/001_05.png,1
001/001_03.png,001/001_06.png,1
001/001_03.png,001/001_07.png,1
001/001_03.png,001/001_08.png,1
001/001_03.png,001/001_09.png,1
001/001_03.png,001/001_10.png,1
001/001_03.png,001/001_11.png,1
001/001_03.png,001/001_12.png,1
001/001_03.png,001/001_13.png,1
001/001_03.png,001/001_14.png,1
001/001_03.png,001/001_15.png,1
001/001_03.png,001/001_16.png,1
001/001_03.png,001/001_17.png,1
001/001_03.png,001/001_18.png,1
001/001_03.png,001/001_19.png,1
001/001_03.png,001/001_20.png,1
001/001_04.png,001/001_00.png,1
001/001_04.png,001/001_01.png,1
001/001_04.png,001/001_02.png,1
001/001_04.png,001/001_03.png,1
001/001_04.png,001/001_05.png,1
001/001_04.png,001/001_06.png,1
001/001_04.png,001/001_07.png,1
001/001_04.png,001/001_08.png,1
001/001_04.png,001/001_09.png,1
001/001_04.png,001/001_10.png,1
001/001_04.png,001/001_11.png,1
001/001_04.png,001/001_12.png,1
001/001_04.png,001/001_13.png,1
001/001_04.png,001/001_14.png,1
001/001_04.png,001/001_15.png,1
001/001_04.png,001/001_16.png,1
001/001_04.png,001/001_17.png,1
001/001_04.png,001/001_18.png,1
001/001_04.png,001/001_19.png,1
001/001_04.png,001/001_20.png,1
001/001_05.png,001/001_00.png,1
001/001_05.png,001/001_01.png,1
001/001_05.png,001/001_02.png,1
001/001_05.png,001/001_03.png,1
001/001_05.png,001/001_04.png,1
001/001_05.png,001/001_06.png,1
001/001_05.png,001/001_07.png,1
001/001_05.png,001/001_08.png,1
001/001_05.png,001/001_09.png,1
001/001_05.png,001/001_10.png,1
001/001_05.png,001/001_11.png,1
001/001_05.png,001/001_12.png,1
001/001_05.png,001/001_13.png,1
001/001_05.png,001/001_14.png,1
001/001_05.png,001/001_15.png,1
001/001_05.png,001/001_16.png,1
001/001_05.png,001/001_17.png,1
001/001_05.png,001/001_18.png,1
001/001_05.png,001/001_19.png,1
001/001_05.png,001/001_20.png,1
001/001_06.png,001/001_00.png,1
001/001_06.png,001/001_01.png,1
001/001_06.png,001/001_02.png,1
001/001_06.png,001/001_03.png,1
001/001_06.png,001/001_04.png,1
001/001_06.png,001/001_05.png,1
001/001_06.png,001/001_07.png,1
001/001_06.png,001/001_08.png,1
001/001_06.png,001/001_09.png,1
001/001_06.png,001/001_10.png,1
001/001_06.png,001/001_11.png,1
001/001_06.png,001/001_12.png,1
001/001_06.png,001/001_13.png,1
001/001_06.png,001/001_14.png,1
001/001_06.png,001/001_15.png,1
001/001_06.png,001/001_16.png,1
